# KEYWORD <TAB> DESCRIPTION
# Sort alphabetical order (case insensitive)
ACK	Acknowledge
AMO	Atomic Memory Operation
am	Active Message
bcopy	Byte copy
BTL	Byte Transfer Layer
cm	Connection Manager
CMA	Cross Memory Attach
CQ	Completion Queue(Infiniband)
CQE	Completion Queue Entry(Infiniband)
csmock	static analysis tools
CUDA	Compute Unified Device Architecture(NVIDIA)
DC	Dynamically Connected transport(Infiniband)
ep	EndPoint
fd	File Descriptor
GDR	GPUDirect RDMA
gtest	Google Test
HPC	High Performance Computing
IB	Infiniband
iface	Interaface
IPC	Inter Process Communication
JUCX	Java API over UCP
KNEM	Kernel Nemesis
md	Memory Domain
MLX	Mellanox Technologies
mlx5	Connect-X5 VPI
mm	Memory Mapper
MPI	Message Passing INterface
MPICH	A MPI Implementation
MTT	The MPI Testing Tool
NAK	Negative Acknowledge
OFA	OpenFabrics Alliance
OMPI	OpenMPI
OOB	Out of band
OOO	Out of Order
OPA	Omni-Path Architecture
Open MPI	A MPI Implementation
PCIe	PCI Express
PGAS	Partitioned Global Address Space
POSIX	Portable operating system interface
PR	Pull Request
QP	Queue Pair(Infiniband)
RC	Reliable Connection (Infiniband)
RDMA	Remote Direct Memory Access
REQ	Request
rkey	Remote KEY
RMA	Remote Memory Access
RNR	Receiver Not Ready
RoCE	RDMA over Converged Ethernet
ROCm	Radeon Open Compute platform(AMD)
Skb	Socket Buffer
sm	Shared Memory
SM	Subnet Manager(Infiniband)
SockCM	Socket Connection Manager
SRQ	Shared Receive Queue
SYSV	UNIX System V
tl	Transport Layer
UC	Unreliable Connection (Infiniband)
UCF	Unified Communication Framework
UCM	Unified Communication Memory
UCP	Unified Communication Protocols Higher level API
UCS	Unified Communication Service Common utilities.
UCT	Unified Communication Transport Lower level API
UCX	Unified Communication X
UD	Unreliable Datagram (Infiniband)
uGNI	user level generic network interface(Cray)
VPI	Virtual Protocol Interconnect
WQ	Work Queue(Infiniband)
WQE	Work Queue Elements (pronounce WOOKIE)
WR	Work Request
XPMEM	cross partition memory
XRC	eXtended Reliable Connection(Infiniband)
Zcopy	Zero Copy
